'Erdos1084.le_f' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.dist_P_sq' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.unitDistNum_image' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.hex_lower' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_k0' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_k1' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_k2' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_k3' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_k4' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_k5' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_k6' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
'Erdos1084.lower_127' depends on axioms: ['propext', 'Classical.choice', 'Quot.sound']
